training_iteration,number_of_agents_mean,number_of_airports_mean,malfunction_rate_mean,number_of_initial_cargo_mean,dynamic_cargo_generated_mean
384,2.0,4.0,0.0,3.98,1.56
385,2.0,4.0,0.0,3.98,1.57
386,2.0,4.0,0.0,3.98,1.58
387,2.0,4.0,0.0,3.99,1.61
388,2.0,4.0,0.0,4.0,1.69
389,2.0,4.0,0.0,4.0,1.69
390,2.0,4.0,0.0,4.0,1.7
391,2.0,4.0,0.0,4.0,1.73
392,2.0,4.0,0.0,4.0,1.73
393,2.0,4.0,0.0,4.0,1.74
394,2.0,4.0,0.0,4.0,1.77
395,2.0,4.0,0.0,4.0,1.78
396,2.0,4.0,0.0,4.0,1.81
397,2.0,4.0,0.0,4.0,1.83
398,2.0,4.0,0.0,4.0,1.84
399,2.0,4.0,0.0,4.0,1.85
400,2.0,4.0,0.0,4.0,1.89
401,2.0,4.0,0.0,4.0,1.89
402,2.0,4.0,0.0,4.0,1.9
403,2.0,4.0,0.0,4.0,1.91
404,2.02,4.0,0.0,4.0,1.92
405,2.03,4.0,0.0,4.0,1.92
406,2.07,4.0,0.0,4.0,1.94
407,2.07,4.0,0.0,4.0,1.94
408,2.08,4.0,0.0,4.0,1.95
409,2.09,4.0,0.0,4.0,1.95
410,2.13,4.0,0.0,4.0,1.96
411,2.14,4.0,0.0,4.0,1.96
412,2.14,4.0,0.0,4.0,1.96
413,2.16,4.0,0.0,4.0,1.96
414,2.18,4.0,0.0,4.0,1.96
415,2.2,4.0,0.0,4.0,1.96
416,2.21,4.0,0.0,4.0,1.96
417,2.27,4.0,0.0,4.0,1.96
418,2.3,4.0,0.0,4.0,1.96
419,2.32,4.0,0.0,4.0,1.96
420,2.33,4.0,0.0,4.0,1.96
421,2.37,4.0,0.0,4.0,1.96
422,2.4,4.0,0.0,4.0,1.97
423,2.41,4.0,0.0,4.0,1.97
424,2.45,4.0,0.0,4.0,1.97
425,2.47,4.0,0.0,4.0,1.97
426,2.48,4.0,0.0,4.0,1.97
427,2.49,4.0,0.0,4.0,1.97
428,2.51,4.0,0.0,4.0,1.97
429,2.59,4.0,0.0,4.0,1.98
430,2.6,4.0,0.0,4.0,1.98
431,2.64,4.0,0.0,4.0,1.98
432,2.68,4.0,0.0,4.0,1.98
433,2.7,4.0,0.0,4.0,1.99
434,2.75,4.0,0.0,4.0,1.99
435,2.75,4.0,0.0,4.0,1.99
436,2.78,4.0,0.0,4.0,1.99
437,2.79,4.0,0.0,4.0,1.99
438,2.83,4.0,0.0,4.0,2.0
439,2.87,4.0,0.0,4.0,2.0
440,2.89,4.0,0.0,4.0,2.0
441,2.91,4.0,0.0,4.0,2.0
442,2.93,4.0,0.0,4.0,2.0
443,2.95,4.0,0.0,4.0,2.0
444,2.95,4.0,0.0,4.0,2.0
445,2.97,4.0,0.0,4.0,2.0
446,2.97,4.0,0.0,4.0,2.0
447,2.97,4.0,0.0,4.0,2.0
448,2.97,4.0,0.0,4.0,2.0
449,2.98,4.0,0.0,4.0,2.0
450,2.99,4.0,0.0,4.0,1.99
451,3.0,4.0,0.0,4.0,1.99
452,3.0,4.0,0.0,4.0,1.99
453,3.0,4.0,0.0,4.0,1.99
454,3.0,4.0,0.0,4.0,1.99
455,3.0,4.0,0.0,4.0,1.99
456,3.0,4.0,0.0,4.0,1.99
457,3.0,4.0,0.0,4.0,1.99
458,3.0,4.0,0.0,4.0,1.99
459,3.0,4.0,0.0,4.0,1.99
460,3.0,4.0,0.0,4.0,1.99
461,3.0,4.0,0.0,4.0,1.99
462,3.0,4.0,0.0,4.0,1.99
463,3.0,4.0,0.0,4.0,1.99
464,3.0,4.0,0.0,4.0,1.99
465,3.0,4.0,0.0,4.0,1.99
466,3.0,4.0,0.0,4.0,1.99
467,3.0,4.0,0.0,4.0,1.99
468,3.0,4.0,0.0,4.0,2.01
469,3.0,4.0,0.0,4.0,2.01
470,3.0,4.0,0.0,4.0,2.03
471,3.0,4.0,0.0,4.0,2.03
472,3.0,4.0,0.0,4.0,2.04
473,3.0,4.0,0.0,4.0,2.04
474,3.0,4.0,0.0,4.0,2.04
475,3.0,4.0,0.0,4.0,2.05
476,3.0,4.0,0.0,4.0,2.06
477,3.0,4.0,0.0,4.0,2.09
478,3.0,4.0,0.0,4.0,2.11
479,3.0,4.0,0.0,4.0,2.14
480,3.0,4.0,0.0,4.0,2.15
481,3.0,4.0,0.0,4.0,2.19
482,3.0,4.0,0.0,4.0,2.2
483,3.0,4.0,0.0,4.0,2.2
484,3.0,4.0,0.0,4.0,2.21
485,3.0,4.0,0.0,4.0,2.26
486,3.0,4.0,0.0,4.0,2.26
487,3.0,4.0,0.0,4.0,2.29
488,3.0,4.0,0.0,4.0,2.31
489,3.0,4.0,0.0,4.0,2.32
490,3.0,4.0,0.0,4.0,2.33
491,3.0,4.0,0.0,4.0,2.35
492,3.0,4.0,0.0,4.0,2.35
493,3.0,4.0,0.0,4.0,2.36
494,3.0,4.0,0.0,4.0,2.36
495,3.0,4.0,0.0,4.0,2.38
496,3.0,4.0,0.0,4.0,2.41
497,3.0,4.0,0.0,4.0,2.42
498,3.0,4.0,0.0,4.0,2.44
499,3.0,4.0,0.0,4.0,2.45
